mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1.0,9,0.5901111111111111,"""Cats"" 1981 Original London Cast",0.4672222222222222,250318.5555555556,0.3940033333333333,0.0113998511111111,0.2908333333333333,-14.448,0.2103888888888888,117.51811111111112,0.3895,38.333333333333336,5.0
1.0,26,0.8625384615384617,"""Cats"" 1983 Broadway Cast",0.4417307692307693,287280.0,0.4068076923076923,0.0811582642307692,0.3152153846153846,-10.69,0.1762115384615384,103.04415384615385,0.2688653846153846,30.57692307692308,5.0
1.0,7,0.8565714285714285,"""Fiddler On The Roof” Motion Picture Chorus",0.3482857142857142,328920.0,0.2865714285714285,0.0245929485714285,0.3257857142857143,-15.230714285714283,0.1185142857142857,77.37585714285714,0.3548571428571429,34.857142857142854,0.0
1.0,27,0.884925925925926,"""Fiddler On The Roof” Motion Picture Orchestra",0.4250740740740739,262890.96296296304,0.2457703703703704,0.0735872792592592,0.2754814814814815,-15.639370370370369,0.1232,88.66762962962959,0.3720296296296296,34.85185185185185,0.0
1.0,7,0.5107142857142857,"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.4671428571428572,270436.14285714284,0.4882857142857143,0.0094002914285714,0.195,-10.236714285714289,0.0985428571428571,122.83585714285714,0.4822857142857143,43.0,5.0
1.0,36,0.6095555555555557,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.4872777777777778,205091.9444444445,0.3099055555555556,0.0046956566666666,0.2747666666666666,-18.26638888888889,0.0980222222222221,118.64894444444442,0.4415555555555557,32.77777777777778,5.0
1.0,2,0.725,"""Mama"" Helen Teagarden",0.637,135533.0,0.512,0.186,0.426,-20.615,0.21,134.819,0.885,0.0,8.0
1.0,2,0.927,"""Test for Victor Young""",0.7340000000000001,175693.0,0.474,0.0762,0.737,-10.544,0.256,132.78799999999998,0.902,3.0,10.0
1.0,122,0.1731450819672131,"""Weird Al"" Yankovic",0.6627868852459013,218948.19672131148,0.6953934426229511,4.980262295081966e-05,0.1611016393442622,-9.768704918032787,0.0845360655737704,133.03118032786878,0.7513442622950824,34.22950819672131,9.0
1.0,15,0.5444666666666668,$NOT,0.7898,137910.46666666667,0.5329333333333333,0.0230625833333333,0.1803,-9.14926666666667,0.2936866666666666,112.34479999999998,0.4807,67.53333333333333,1.0
1.0,2,0.239,$atori Zoom,0.883,141519.0,0.625,0.0,0.0765,-4.098,0.245,126.677,0.871,67.0,6.0
1.0,1,0.000122,$pyda,0.514,331240.0,0.899,0.0793,0.3670000000000001,-5.115,0.0602,174.028,0.266,59.0,7.0
1.0,2,0.1481,$tupid Young,0.8540000000000001,190572.0,0.6829999999999999,2.075e-06,0.1885,-6.997000000000001,0.221,100.7245,0.6255000000000001,57.5,1.0
1.0,125,0.14148488,$uicideBoy$,0.749344,146386.392,0.635552,0.0456750955199999,0.2022527999999999,-6.631303999999997,0.156108,115.02202400000009,0.2872856,61.8,1.0
1.0,13,0.6247692307692306,'In The Heights' Original Broadway Company,0.5636153846153845,314023.6153846154,0.4576923076923078,8.692307692307694e-06,0.2043846153846154,-8.338461538461537,0.1524538461538461,117.00684615384613,0.4675384615384614,47.69230769230769,7.0
1.0,9,0.5538888888888889,'Legally Blonde' Ensemble,0.6484444444444446,304211.88888888893,0.4411111111111111,2.544444444444445e-05,0.2146666666666666,-11.45977777777778,0.4951111111111112,114.80844444444443,0.5247777777777778,48.66666666666666,2.0
1.0,2,0.6044999999999999,'Legally Blonde' Greek Chorus,0.7735000000000001,361780.0,0.3095,0.0,0.2222,-12.669,0.289,105.7,0.5965,48.0,10.0
1.0,16,0.10555625,'Til Tuesday,0.557125,255213.5,0.61225,0.0233002525,0.1275875,-9.638125,0.03215,103.08025000000002,0.532625,34.625,0.0
1.0,2,0.847,((( O ))),0.41,311837.0,0.1689999999999999,0.00327,0.1169999999999999,-11.422,0.0485,89.494,0.208,67.0,3.0
1.0,2,0.5379999999999999,(Con La Participación de Marc Anthony),0.731,361440.0,0.794,2.39e-05,0.0736,-4.182,0.0408,88.00299999999999,0.873,43.0,5.0
0.0,4,0.011235,(G)I-DLE,0.6405,196969.0,0.8,0.0,0.252,-4.4735,0.04875,151.01325,0.3750000000000001,79.25,1.0
1.0,10,0.0116313999999999,(Hed) P.E.,0.5891999999999998,253677.4,0.8792,2.026e-06,0.17112,-5.2598,0.17214,134.9694,0.4270000000000001,45.8,2.0
1.0,105,0.1916107428571427,*NSYNC,0.6087428571428571,236775.1523809524,0.6944285714285712,0.0027032102857142,0.20286,-6.273800000000001,0.0571380952380952,115.61588571428572,0.5647809523809525,45.371428571428574,0.0
1.0,8,0.01281645,+44,0.4515000000000001,205250.0,0.88325,2.4e-06,0.1507,-4.26175,0.0790749999999999,168.37124999999995,0.39125,43.5,2.0
1.0,2,0.0084099999999999,...And You Will Know Us by the Trail of Dead,0.255,273624.0,0.858,0.0003549999999999,0.513,-5.085,0.0694,144.653,0.237,36.0,7.0
1.0,2,0.000155,...Bender,0.542,226000.0,0.894,0.00104,0.1159999999999999,-5.025,0.0537,119.128,0.336,42.0,1.0
0.0,7,0.1226857142857143,03 Greedo,0.6884285714285714,220377.7142857143,0.5868571428571429,5.714285714285714e-07,0.1481857142857143,-7.505285714285715,0.0587142857142857,87.36128571428574,0.3728571428571428,59.28571428571429,1.0
0.0,1,0.0114,070 Shake,0.696,398106.0,0.667,0.0,0.181,-7.665,0.0407,121.932,0.287,63.0,0.0
0.0,2,0.0217,10 Ft. Ganja Plant,0.789,236253.0,0.7929999999999999,0.826,0.1119999999999999,-6.629,0.107,149.368,0.743,50.0,4.0
1.0,14,0.1108588428571428,10 Years,0.4084285714285714,209857.0,0.7488571428571428,0.0002331785714285,0.1529857142857143,-5.050857142857142,0.0448857142857142,150.52271428571433,0.3287142857142857,48.71428571428572,6.0
1.0,42,0.1908328571428572,"10,000 Maniacs",0.5844761904761905,236012.61904761905,0.5420761904761905,0.0087604042857142,0.2297047619047619,-13.288047619047616,0.0378523809523809,118.4760952380952,0.5738095238095238,37.0,9.0
1.0,4,0.1584499999999999,100 gecs,0.61925,126605.25,0.59575,0.0,0.37175,-6.588000000000001,0.2125,114.87475,0.78125,68.0,6.0
1.0,16,0.588875,101 Strings Orchestra,0.292525,173106.375,0.397,0.7145375,0.195375,-13.496375,0.037975,100.62312500000002,0.391525,27.0,0.0
1.0,38,0.2308210526315789,10cc,0.5606315789473686,298796.5789473684,0.567315789473684,0.0074713842105263,0.1520947368421052,-10.354052631578954,0.0661105263157894,121.8002631578947,0.555,41.578947368421055,7.0
